join_area,ber_n,ber_mean_floor_area,ber_median_floor_area,ber_mean_rating,ber_median_year_built,ber_mean_co2,ber_mean_storeys,ber_pct_a_or_b
Carlow,17520,122.852,106.17,211.953,1999.0,49.346,1.74,0.325
Cavan,19910,136.261,118.285,226.65,2002.0,55.384,1.751,0.302
Clare,33338,132.493,113.4,230.138,1996.0,56.499,1.736,0.297
Cork,157378,120.742,104.9,202.635,1997.0,45.613,1.827,0.399
Donegal,42824,132.338,115.265,232.209,1999.0,57.792,1.687,0.254
Dublin,114115,115.895,105.15,157.333,2002.0,32.051,1.856,0.512
Dublin 1,11551,62.245,57.0,215.356,1999.0,41.91,1.211,0.326
Dublin 10,6503,77.298,77.6,201.451,1966.0,39.36,1.823,0.323
Dublin 11,17745,86.592,82.0,186.466,1985.0,36.964,1.752,0.401
Dublin 12,16735,85.274,81.1,230.73,1955.0,46.126,1.816,0.278
Dublin 13,13307,104.966,93.22,157.898,2003.0,31.267,1.781,0.51
Dublin 14,13589,119.932,106.73,199.555,1979.0,40.844,1.858,0.381
Dublin 15,33347,104.517,96.108,150.832,2003.0,29.737,1.88,0.482
Dublin 16,13910,114.853,110.07,173.736,1988.0,35.494,1.912,0.431
Dublin 17,6498,88.25,81.8,165.653,2002.0,32.76,1.729,0.408
Dublin 18,21771,108.526,89.07,112.03,2008.0,21.565,1.593,0.709
Dublin 19,5,117.524,94.0,196.064,1998.0,38.41,1.8,0.0
Dublin 2,6704,67.195,60.895,204.878,1998.0,39.83,1.219,0.353
Dublin 20,4109,92.028,87.16,178.791,1995.0,35.936,1.696,0.45
Dublin 21,6,80.253,78.16,253.855,1991.5,58.527,1.667,0.167
Dublin 22,14581,89.916,83.22,162.115,1997.0,32.036,1.793,0.438
Dublin 23,4,97.542,92.925,264.712,1987.5,66.592,2.0,0.25
Dublin 24,26249,91.589,85.89,167.92,2001.0,33.269,1.78,0.413
Dublin 3,12326,92.109,80.39,247.639,1958.0,49.976,1.707,0.263
Dublin 4,14880,99.641,78.2,216.944,1987.0,42.707,1.553,0.311
Dublin 5,12928,99.93,94.42,227.499,1969.0,45.996,1.942,0.248
Dublin 6,11611,94.231,72.56,267.212,1975.0,53.612,1.672,0.226
Dublin 6W,7163,117.073,110.38,225.311,1972.0,46.678,1.937,0.322
Dublin 7,16941,73.796,68.53,270.147,1958.0,53.984,1.614,0.194
Dublin 8,19858,65.717,60.37,237.43,1995.0,46.673,1.376,0.284
Dublin 9,17244,94.36,88.365,210.382,1981.0,42.396,1.717,0.355
Galway,74008,131.958,114.05,214.656,1999.0,51.742,1.758,0.326
Kerry,42944,133.051,115.9,225.488,1997.0,55.39,1.667,0.312
Kildare,68592,124.422,112.43,159.143,2003.0,35.457,1.813,0.512
Kilkenny,23347,133.706,112.22,206.765,1999.0,49.103,1.778,0.377
Laois,22748,125.153,107.58,196.999,2003.0,47.529,1.73,0.413
Leitrim,10586,127.707,116.825,254.956,2001.0,63.526,1.655,0.243
Limerick,57515,119.589,104.9,217.843,1994.0,50.212,1.751,0.307
Longford,12187,121.85,104.08,229.435,2002.0,56.897,1.618,0.311
Louth,41519,119.115,103.77,182.944,2000.0,40.617,1.806,0.431
Mayo,37234,132.859,115.21,246.581,1996.0,61.581,1.609,0.255
Meath,58339,131.227,116.65,161.033,2004.0,36.451,1.817,0.515
Monaghan,13660,136.273,114.12,212.396,1998.0,51.437,1.786,0.372
Offaly,19380,126.539,108.5,230.399,1999.0,58.42,1.657,0.32
Roscommon,17025,133.607,118.57,255.463,2000.0,64.622,1.602,0.256
Sligo,20906,123.126,106.87,229.496,1998.0,56.471,1.674,0.304
Tipperary,42825,125.673,105.84,240.192,1990.0,58.893,1.703,0.28
Waterford,37200,116.839,101.62,203.801,1997.0,45.904,1.719,0.347
Westmeath,25826,124.361,111.38,220.832,1999.0,54.235,1.704,0.322
Wexford,47383,130.057,111.9,211.045,2000.0,51.792,1.738,0.335
Wicklow,46318,123.968,108.19,178.144,2000.0,40.049,1.806,0.469
